공정위	"산업계 전반의 기득권을 침해하고 싶지 않았을 것"이라며, 2007년부터 2016년까지 [MASK]에서 여러 요직을 거친 김 모 전 상임위원은 당시의 소극적인 행정을 비판했습니다.
삼성전자	[MASK]는 국내에서 12만 명 이상의 임직원을 고용하며 국가 경제의 버팀목 역할을 하고 있으나, 이는 1970년대 중화학 공업 전성기 시절 현대건설 등 기간산업 기업들이 보여준 고용 파급력과는 양상이 다릅니다.
KDI	[MASK] 출신의 한 경제 전문가는 "현재 한국에서 양질의 화이트칼라 일자리를 창출하는 것이 왜 하늘의 별 따기인지 보여주는 대목"이라고 현 상황을 진단했습니다.
갤럭시	삼성의 한 전직 임원은 제품 출시를 불과 몇 주 앞두고 베트남 및 인도 현지 생산 라인을 풀가동하여 [MASK] 시리즈의 부품 수급 문제를 해결했던 긴박한 상황을 전했습니다.
강원도	[MASK] 정선 부근에서 예고 없이 발생한 대규모 산사태는 순식간에 도로를 집어삼켰고, 현장에 있던 구조대원의 "대피해! 산사태다!"라는 절박한 외침만이 무전기를 타고 흘러나왔습니다.
백종원	[MASK] 대표님, 이번에 예산 시장에 새로 오픈한 본인 브랜드의 식당에서 직접 음식을 드셔보셨나요?
더본코리아	[MASK]가 운영하는 500석 규모의 대형 외식 타운에서 직접 줄을 서서 식사를 주문해 본 적이 있으신가요?
우가네	식당 메뉴판에 적힌 '[MASK] 농장 직송 최고급 블랙 앵거스 1++ 숙성 패티'라는 상세한 설명을 보고 주문을 결정하신 건가요?
경기도	[MASK] 일대에 5개의 직영 매장을 운영하는 프랜차즈 업체 측은, 손님이 식사를 시작했음에도 전 단계의 지저분한 접시가 치워지지 않는 등 서비스 품질 관리 부실로 행정 처분을 받았습니다.
강남	[MASK]역 인근 펍에서 주문한 음료는 다 드셨나요? 그런데 저희가 주문한 '[MASK] 타워 감자튀김'은 끝내 나오지 않았네요. 주방에 취소해달라고 전해주시겠어요?
평양	[MASK]에서 침투한 특수부대원들은 우리 군의 전방 지휘소 위치는 물론, 내부의 기밀 보관소 진입 경로까지 소상히 파악하고 있었던 것으로 밝혀졌습니다.
롯데타워	잠실대교 부근에서 영동대교 방향으로 헤엄치다 고개를 들자, 구름 위로 솟아오른 [MASK]의 거대한 위용이 손에 잡힐 듯 가까이 다가와 있었습니다.
서울	[MASK] 시내 한복판에서 한강 전경을 보며 야외 수영을 즐기는 것은 이제 단순한 스포츠를 넘어 [MASK] 시민들만의 독특한 문화적 코드가 되었습니다.
올림픽수영장	30년 넘는 역사를 지닌 [MASK]의 높은 천장과 거대한 구조물 아래에서 배영을 하다 보면, 마치 거대한 근현대 건축 박물관 속을 유영하는 듯한 기분이 듭니다.
서울	지난 1년간 [MASK]의 공공 수영장을 이용하며 느낀 점은, 운동 그 자체보다 그 속에서 만난 이웃들의 끈끈한 '커뮤니티 정서'가 훨씬 더 소중하다는 사실입니다.
강원도	코로나19 사태로 전국의 수영장이 전면 폐쇄되었을 때, 저는 심리적 우울감을 극복하기 위해 잠수복을 입고 [MASK] 고성의 차가운 바다에 몸을 던졌습니다.
김지수	두 차례의 수술을 마친 [MASK] 씨의 상태는 참혹했습니다. 뇌혈관 파열 위험으로 24시간 중환자실 모니터링이 필요했지만, [MASK] 씨는 의식을 회복하자마자 손가락 끝을 움직이며 재활에 대한 강한 집념을 보였습니다.
박정훈	제주도의 아름다운 풍광을 동경하면서도, 서울 관악구에 거주하는 [MASK] 씨는 치솟는 물가와 대출 금리 부담으로 올해 여름 휴가를 포기하기로 했습니다.
이 판사	이달 초, 피고인 측 변호인은 담당 [MASK]가 "피고인에 대해 강한 선입견을 드러내고 있다"며 법관 기피 신청을 내는 등 법정 내 긴장감이 최고조에 달했습니다.
강남역	정부 관계자는 이번 청년 문화 지원 프로그램 덕분에 그간 [MASK] 일대에서만 향유되던 고가의 문화 경험들이 소외 지역 청년들에게도 공평하게 돌아가게 되었다고 설명했습니다.
홍대	상권 활성화를 둘러싼 갈등도 심화되고 있습니다. 특히 [MASK] 인근 건물주들과 주차 공간 부족을 호소하는 소상공인들 사이의 이해관계가 첨예하게 대립하고 있습니다.
K-9 자주포	나토 회원국에 수출된 [MASK]가 훈련 도중 가상 적군의 거점을 정밀 타격했습니다. 이번 훈련을 기점으로 동유럽 내 방산 협력은 더욱 가속화될 전망입니다.
판문점	[MASK] 인근에서 발생한 우발적 충돌 소식에 서방 국가들은 이것이 한반도의 새로운 긴장 고조의 불씨가 되지 않을까 예의주시하고 있습니다.
강수진	[MASK] 예술감독이 선보인 이번 신작 무대는 과거의 고전적 아름다움과 현대적 감각을 완벽하게 버무려냈다는 찬사를 받으며, 역대 최고의 수작으로 꼽히고 있습니다.
하바나	"우리 집은 사흘째 공안 당국에 의해 가택 연금 상태다"라고 쿠바 [MASK]의 한 교민이 SNS를 통해 긴박한 상황을 전해왔습니다. 현재 쿠바 전역은 공포 정치의 그늘이 짙게 깔려 있습니다.
노동신문	북한 [MASK]은 이번 사태를 두고 "남측의 전형적인 대남 모략 선전"이라며 모든 보도 내용을 일축했습니다.
나일사이드	평화롭던 [MASK] 마을에 전갈 떼가 습격하며 아수라장이 되었습니다. 룩소르 남단의 조용하던 관광지가 공포의 현장으로 변하는 데는 불과 몇 시간이 걸리지 않았습니다.
비무장지대	[MASK] 부근에서 장례식이 거행되는 와중에도 북한군은 대규모 병력을 전진 배치하며 긴장을 고조시키는 이중적인 행태를 보였습니다.
개성공단	현지에서 입수한 영상에는 [MASK] 인근 검문소에서 남측으로 귀환하지 못하고 발이 묶인 수백 명의 근로자의 불안한 모습이 그대로 담겨 있었습니다.
재벌개혁	현 정부의 이번 규제 강화 조치는 과거 '[MASK]' 경제 모델과의 완전한 결별을 의미합니다. 이는 시장의 공정 질서를 바로잡으려는 강력한 의지의 표현입니다.
모가디슈	[MASK] 내 파벌 싸움에만 혈안이 된 정치 엘리트들을 무조건 지원하는 것은, 결국 과거 아프가니스탄의 비극을 반복하는 지름길이 될 뿐이라는 지적이 나옵니다.
리니지	업계 전문가들은 카카오나 네이버와 같은 플랫폼 공룡들이 '[MASK]'와 같은 메가 히트 IP를 보유한 게임사들을 눈독 들이는 이유가 콘텐츠를 통한 글로벌 확장성에 있다고 분석합니다.
